,lon,lat,alt,NAME,population,area,density
1,121.37,23.151,200,臺東縣成功鎮,14238,143.9939,99
2,121.3,22.991,42,臺東縣成功鎮,14238,143.9939,99
3,121.33,23.111,828,臺東縣成功鎮,14238,143.9939,99
4,121.38,23.111,35,臺東縣成功鎮,14238,143.9939,99
5,121.36,23.111,197,臺東縣成功鎮,14238,143.9939,99
6,121.37,23.181,645,臺東縣成功鎮,14238,143.9939,99
7,121.34,23.141,783,臺東縣成功鎮,14238,143.9939,99
8,121.35,23.141,565,臺東縣成功鎮,14238,143.9939,99
9,121.33,23.141,1118,臺東縣成功鎮,14238,143.9939,99
10,121.39,23.181,196,臺東縣成功鎮,14238,143.9939,99
11,121.32,22.991,8,臺東縣成功鎮,14238,143.9939,99
12,121.37,23.221,253,臺東縣成功鎮,14238,143.9939,99
13,121.39,23.151,132,臺東縣成功鎮,14238,143.9939,99
14,121.38,23.141,142,臺東縣成功鎮,14238,143.9939,99
15,121.36,23.221,714,臺東縣成功鎮,14238,143.9939,99
16,121.33,23.171,824,臺東縣成功鎮,14238,143.9939,99
17,121.36,23.181,861,臺東縣成功鎮,14238,143.9939,99
18,121.36,23.171,789,臺東縣成功鎮,14238,143.9939,99
19,121.35,23.181,820,臺東縣成功鎮,14238,143.9939,99
20,121.33,23.026,25,臺東縣成功鎮,14238,143.9939,99
21,121.33,23.051,200,臺東縣成功鎮,14238,143.9939,99
22,121.35,23.111,302,臺東縣成功鎮,14238,143.9939,99
23,121.34,23.051,46,臺東縣成功鎮,14238,143.9939,99
24,121.34,23.041,8,臺東縣成功鎮,14238,143.9939,99
25,121.33,23.061,183,臺東縣成功鎮,14238,143.9939,99
26,121.32,23.091,936,臺東縣成功鎮,14238,143.9939,99
27,121.34,23.181,1115,臺東縣成功鎮,14238,143.9939,99
28,121.32,23.041,383,臺東縣成功鎮,14238,143.9939,99
29,121.32,23.051,374,臺東縣成功鎮,14238,143.9939,99
30,121.32,23.011,67,臺東縣成功鎮,14238,143.9939,99
31,121.31,23.011,425,臺東縣成功鎮,14238,143.9939,99
32,121.4,23.141,2,臺東縣成功鎮,14238,143.9939,99
33,121.35,23.171,996,臺東縣成功鎮,14238,143.9939,99
34,121.37,23.161,360,臺東縣成功鎮,14238,143.9939,99
35,121.39,23.171,215,臺東縣成功鎮,14238,143.9939,99
36,121.36,23.091,28,臺東縣成功鎮,14238,143.9939,99
37,121.35,23.091,198,臺東縣成功鎮,14238,143.9939,99
38,121.39,23.221,120,臺東縣成功鎮,14238,143.9939,99
39,121.4,23.221,55,臺東縣成功鎮,14238,143.9939,99
40,121.4,23.181,1,臺東縣成功鎮,14238,143.9939,99
41,121.38,23.181,337,臺東縣成功鎮,14238,143.9939,99
42,121.34,23.091,143,臺東縣成功鎮,14238,143.9939,99
43,121.38,23.171,480,臺東縣成功鎮,14238,143.9939,99
44,121.33,23.091,481,臺東縣成功鎮,14238,143.9939,99
45,121.33,23.081,269,臺東縣成功鎮,14238,143.9939,99
46,121.31,23.001,173,臺東縣成功鎮,14238,143.9939,99
47,121.38,23.161,337,臺東縣成功鎮,14238,143.9939,99
48,121.36,23.141,311,臺東縣成功鎮,14238,143.9939,99
49,121.33,23.041,58,臺東縣成功鎮,14238,143.9939,99
50,121.34,23.151,954,臺東縣成功鎮,14238,143.9939,99
51,121.39,23.211,151,臺東縣成功鎮,14238,143.9939,99
52,121.35,23.151,406,臺東縣成功鎮,14238,143.9939,99
53,121.36,23.151,286,臺東縣成功鎮,14238,143.9939,99
54,121.35,23.081,70,臺東縣成功鎮,14238,143.9939,99
55,121.32,23.081,681,臺東縣成功鎮,14238,143.9939,99
56,121.37,23.111,98,臺東縣成功鎮,14238,143.9939,99
57,121.33,23.161,1112,臺東縣成功鎮,14238,143.9939,99
58,121.31,22.981,42,臺東縣成功鎮,14238,143.9939,99
59,121.36,23.211,761,臺東縣成功鎮,14238,143.9939,99
60,121.33,23.021,22,臺東縣成功鎮,14238,143.9939,99
61,121.4,23.171,49,臺東縣成功鎮,14238,143.9939,99
62,121.31,22.991,122,臺東縣成功鎮,14238,143.9939,99
63,121.37,23.141,195,臺東縣成功鎮,14238,143.9939,99
64,121.39,23.201,77,臺東縣成功鎮,14238,143.9939,99
65,121.34,23.111,671,臺東縣成功鎮,14238,143.9939,99
66,121.38,23.221,143,臺東縣成功鎮,14238,143.9939,99
67,121.32,23.071,809,臺東縣成功鎮,14238,143.9939,99
68,121.32,23.161,1524,臺東縣成功鎮,14238,143.9939,99
69,121.35,23.071,13,臺東縣成功鎮,14238,143.9939,99
70,121.32,23.031,239,臺東縣成功鎮,14238,143.9939,99
71,121.32,23.001,7,臺東縣成功鎮,14238,143.9939,99
72,121.33,23.031,45,臺東縣成功鎮,14238,143.9939,99
73,121.36,23.101,93,臺東縣成功鎮,14238,143.9939,99
74,121.36,23.161,689,臺東縣成功鎮,14238,143.9939,99
75,121.34,23.171,934,臺東縣成功鎮,14238,143.9939,99
76,121.37,23.171,914,臺東縣成功鎮,14238,143.9939,99
77,121.35,23.211,1163,臺東縣成功鎮,14238,143.9939,99
78,121.37,23.201,370,臺東縣成功鎮,14238,143.9939,99
79,121.37,23.211,242,臺東縣成功鎮,14238,143.9939,99
80,121.4,23.151,2,臺東縣成功鎮,14238,143.9939,99
81,121.34,23.081,115,臺東縣成功鎮,14238,143.9939,99
82,121.34,23.191,1537,臺東縣成功鎮,14238,143.9939,99
83,121.4,23.157,17,臺東縣成功鎮,14238,143.9939,99
84,121.376,23.101,22,臺東縣成功鎮,14238,143.9939,99
85,121.35,23.201,1064,臺東縣成功鎮,14238,143.9939,99
86,121.37,23.101,57,臺東縣成功鎮,14238,143.9939,99
87,121.33,23.071,255,臺東縣成功鎮,14238,143.9939,99
88,121.39,23.161,227,臺東縣成功鎮,14238,143.9939,99
89,121.38,23.121,61,臺東縣成功鎮,14238,143.9939,99
90,121.39,23.121,71,臺東縣成功鎮,14238,143.9939,99
91,121.34,23.131,606,臺東縣成功鎮,14238,143.9939,99
92,121.31,23.021,580,臺東縣成功鎮,14238,143.9939,99
93,121.34,23.071,108,臺東縣成功鎮,14238,143.9939,99
94,121.34,23.161,697,臺東縣成功鎮,14238,143.9939,99
95,121.35,23.191,1232,臺東縣成功鎮,14238,143.9939,99
96,121.32,23.061,501,臺東縣成功鎮,14238,143.9939,99
